id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
872906,Jawan,Action-Adventure-Thriller,hi,An emotional journey of a prison warden driven by a personal vendetta while keeping up to a promise made years ago recruits inmates to commit outrageous crimes that shed light on corruption and injustice in an attempt to get even with his past  and that leads him to an unexpected reunion.,143.524,Red Chillies Entertainment,07-09-2023,36150000,136698671,169,Released,,7.4,152,Shah Rukh Khan-Nayanthara-Vijay Sethupathi-Priyamani-Sanya Malhotra-Girija Oak-Lehar Khan-Sanjeeta Bhattacharya-Aaliyah Qureishi-Sunil Grover-Ridhi Dogra-Deepika Padukone-Mukesh Chhabra-Yogi Babu-Eijaz Khan-Ashlesha Thakur-Kenny Basumatary-Bharat Raj-Naresh Gosain-Ravindra Vijay-Omkar Das Manikpuri-Boxer Dheena-Smita Tambe-Sukhi Garewal-Sangay Tsheltrim-Seeza Saroj-Abiral Limboo-Utsav Narula-Priyansh Vatiani-Abhishek Deswal-Ashwin Goshal-Viraj Ghelani-Jaffer Sadiq-Vivek Raghuvanshi-Sharad Vyas-Direndo Loitangbam-Sirisha Hanumanth-Leesha Eclairs-Sanjay Dutt-Atlee,revenge-vigilantism-political,/qh2lLZ5HtLYPxxuS7ccxMhwgEn6.jpg,/28er4p7B5zMSxUDQKPF1hBsgnys.jpg,885331-888710-937020-734253-950071-565770-1045385-856289-599925-188342-174351-135718-922087-1029827-117691-4251-52645-80156-33142-16987-498448
579974,RRR,Action-Drama,te,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,110.946,DVV Entertainment-Pen Studios-Lyca Productions,24-03-2022,69000000,160000000,186,Released,"Rise, Roar, Revolt.",7.845,956,N. T. Rama Rao Jr.-Ram Charan-Ajay Devgn-Alia Bhatt-Shriya Saran-Samuthirakani-Ray Stevenson-Alison Doody-Olivia Morris-Edward Sonnenblick-Makrand Deshpande-Chatrapathi Sekhar-Rajiv Kanakala-Rahul Ramakrishna-Ahmareen Anjum-Twinkle Sharma-Varun Buddhadev-Spandan Chaturvedi-R. Bhakti Klein-Mark Bennington-Gaurav Pareek-Alexx O'Nell-S. S. Rajamouli-Kirron Arya-Akash Boro-Eduard Buhac-Narendra Singh Dhami-Oleg Karpenko-Ivan Kostadinov-Jason Yeboa-Andrew Lyon,revolution-liberation-slavery-male friendship-freedom fighter-british empire-rescue-interracial romance-historical fiction-period drama-historical-1920s-history of india-killed in action-war,/nEufeZlyAOLqO2brrs0yeF1lgXO.jpg,/77GGKq6Ixq6ZiqBM6XcPZgQmiN2.jpg,985939-760741-84773-781099-2316-1067209-997120-1114114-629176-547804-641304-553594-949687-605330-126610-921662-479052-951368-724106-695556
770906,Salaar: Part 1 – Ceasefire,Action-Crime-Thriller,te,In the city of Khansaar Raja Mannar plans to make his son Vardharaja Mannar his successor but Raja Mannar's ministers and advisors plan a coup d'état by hiring armies from Russia and Serbia to attack and kill Vardha and Raja. Vardha along with his brother and a few trusted men manage to escape from Khansaar. Vardha goes to his childhood best friend Deva who learns about his predicament and sets out to make him the undisputed successor of Khansaar.,62.173,Hombale Films,21-12-2023,50000000,0,175,Released,,7,2,Prabhas-Prithviraj Sukumaran-Shruti Haasan-Jagapati Babu-Tinnu Anand-Easwari Rao-Sriya Reddy-Ramachandra Raju-Bobby Simha-John Vijay-Madhu Guruswamy-Saptagiri-Jhansi-Brahmaji-Naga Mahesh-Gemini Suresh-Mime Gopi-Prudhviraj-Nabin Luhagun-Simrat Kaur,,/vzzeYSh6QYyN9CcY0EmdZJvXH4l.jpg,/hOx2kPyniEHJj9wquzJMuStFFUG.jpg,
592508,Sooryavanshi,Action-Crime-Thriller,hi,A fearless faithful albeit slightly forgetful Mumbai cop Veer Sooryavanshi the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.,43.789,Reliance Entertainment-Dharma Productions-Rohit Shetty Productionz,05-11-2021,13000000,37700000,145,Released,Police is coming.,5.8,131,Akshay Kumar-Katrina Kaif-Ajay Devgn-Ranveer Singh-Jackie Shroff-Javed Jaffrey-Kumud Mishra-Abhimanyu Singh-Nikitin Dheer-Gulshan Grover-Vivan Bhatena-Sikandar Kher-Rajendra Gupta-Amritpal Singh-Asif Basra-Uday Tikekar-Jayant Sawarkar-Pradeep Kabra-Micky Makhija-Siddharth Jadhav-Ashish Warang-Mrunal Jain-Anuradha Chandan-Sukanya Dhanda-Kishor Mahabole-Shruti Ulfat-Shaji Choudhary-Sofiya Khan-Krishna Kotian-Meenal Sahu-Anil Charanjeett-Niharica Raizada,police-sequel-police officer-cop universe,/8p3mhjyLjHKtaAv8tFKfvEBtir0.jpg,/7w06baRS9VPm5RYz8lawTCLiR4j.jpg,362045-297222-664332-283589-534780-589761-512195-482373-566525-580489-624860-646380-524434-425909-550988-370172-568124-616037-634649-1930-453395
783461,Looop Lapeta,Action-Comedy-Crime,hi,When her boyfriend loses a mobster's cash Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.,43.226,Ellipsis Entertainment-Sony Pictures Films India,04-02-2022,69000000,0,131,Released,,6.3,53,Taapsee Pannu-Tahir Raj Bhasin-Shreya Dhanwanthary-Dibyendu Bhattacharya-Rajendra Chawla-K.C. Shankar-Suresh Triveni-Manik Papneja-Raghav Raj Kakker-Sameer Kevin Roy-Bhupesh Bandekar-Alistar Bennis-Varun Pande-Babajaan Devaraya-Guia Bianchi-Priya Paramita Paul,remake-looop lapeta-saade saati,/onGdT8sYi89drvSJyEJnft97rOq.jpg,/kQM7o3NIkruIZLoQ9E2XzZQ8Ujl.jpg,800510-803114-774825-768744-801071-833425-597208-632727-646385-585083-476669-634649-512195-568124-524434-414906-335787
256040,Bāhubali: The Beginning,Action-Drama,te,The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her discovering his own origins in the process.,42.887,Arka Media Works,10-07-2015,25130430,90747520,158,Released,,7.6,613,Prabhas-Rana Daggubati-Tamannaah Bhatia-Anushka Shetty-Ramya Krishnan-Nassar-Sathyaraj-Sudeep-Adivi Sesh-Tanikella Bharani-Prabhakar-Rohini-Rakesh Varre-Ramakrishna Meka-S. S. Rajamouli-Charandeep-Scarlett Mellish Wilson-Nora Fatehi-Gabriela Bertante-Bharani Shankar-Kalpalatha-John Kokken,kingdom-medieval india-ancient india-bilingual,/9BAjt8nSSms62uOVYn1t3C3dVto.jpg,/xpu8enBAtOHo8KS5eGNONsC6GaS.jpg,350312-85985-148265-205022-454292-82322-1022451-226200-63414-135870-373449-348892-82825-148284-19625-564147-19666-579974-297222-360814-534780
864692,Pathaan,Action-Adventure-Thriller,hi,A soldier caught by enemies and presumed dead comes back to complete his mission accompanied by old companions and foes.,34.982,Yash Raj Films,25-01-2023,63000000,112000000,146,Released,"Buckle your seat belts, a storm is coming",7.9,35,Shah Rukh Khan-Deepika Padukone-John Abraham-Dimple Kapadia-Ashutosh Rana-Salman Khan-Akash Bhatija-Prakash Belawadi-Viraf Patel-Shaji Choudhary-Diganta Hazarika-Rajat Kaul-Prem Jhangiani-Keith Sequeira-Manish Wadhwa-Ashutosh Singh-Grace Girdhar-Amanpreet Hundal-Nikhat Khan-Bashir Lone-Rumi Khan-Ekta Kaul-Aritro Rudraneil Banerjee-Amrita Mishra-Jayna Ruchandani-Karishma Singh-Jeffrey Goldberg-Mustafa Aksari-Rakesh Khatri-Mansi Taxak-Guneet Sharma-Jairoop Jeevan-Ankita Mandlik-Aishwarya Shetty-Nishi Yadav-Artur Dorogovenko-Renata Puppin-Christopher James Collins-Ruslan Raisovich Mustafin-Rachel Mullins-Andrei Blitznetsov-Nikolay Novomlinsky-Jerry Ezeh-Serafima Zhukova-Alexander Stepikov-Dmitri Ivanov-Stanislav Iurovskikh-Jyantino Albuquerque-Prashant Makwana-Neil Pednekar-Sergey Andreevich Hramov-Emmanuel Chinwuba-Mirko Quaini,spy-fake death-spy thriller-spy universe-yrf spy universe,/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg,/n5eOJxRTtAz2zmdvtpONLnt0U0q.jpg,925943-758769-707610-646389-804095-816904-947938-862618-234249-876845-881098-892068-985932-360920-976121-1080806-882826-788348-778946-934419-975714
350312,Bāhubali 2: The Conclusion,Action-Adventure-Fantasy,te,When Mahendra the son of Bāhubali learns about his heritage he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.,34.695,Arka Media Works,27-04-2017,31000000,275947313,168,Released,,7.4,579,Prabhas-Rana Daggubati-Sathyaraj-Anushka Shetty-Nassar-Ramya Krishnan-Subbaraju-Tamannaah Bhatia-Prudhviraj-Rohini-Ashrita Vemuganti-Tanikella Bharani-Bharani Shankar-Kalpalatha,kingdom-bilingual,/21sC2assImQIYCEDA84Qh9d1RsK.jpg,/yCRYYGldFGVa4cmZVpTVCRQMfjA.jpg,256040-85985-148265-564147-205022-82322-454292-1022451-20294-765019-456570-579974-135718-226200-63414-63376-628241-587412-373449-611356-658412
945482,Butterfly,Mystery-Thriller,te,Vyjayanthi and Geetha are sisters who grew up on their own after the demise of their parents. On a fateful day when Vyjayanthi a popular lawyer is out of town her two children get kidnapped; Geetha who is supposed to protect them takes up the job of rescuing these kids upon herself.,34.014,Gen’nexT Movies,29-12-2022,0,0,136,Released,,7.5,2,Anupama Parameswaran-Bhumika Chawla-Nihal Kodhaty-Rao Ramesh-Praveen-Racha Ravi-Rajitha-Vennela Ramarao-Meghana-Master Devannu-Baby Aadhya,,/ejmnLY3u3LrRGQLiq4fiGVBUx3p.jpg,/njtU61PSOgfBcWMQ4Hu6S8TZug1.jpg,
720557,Tiger 3,Action-Adventure-Thriller,hi,Following the events of Tiger Zinda Hai War and Pathaan Avinash Singh Rathore returns as Tiger but this time the battle is within. He has to choose between his country or family as an old enemy is after his life who claims that his family was killed by Tiger. He holds Tiger captive in Pakistan as the Indian agent's loyalty towards his country faces its biggest test.,32.841,Yash Raj Films,12-11-2023,0,0,156,Released,"This time, it's personal",0,0,Salman Khan-Katrina Kaif-Emraan Hashmi-Revathi-Kumud Mishra-Sartaaj Kakkar-Anant Vidhaat Sharma-Chandrachoor Rai-Ashutosh Rana-Ranvir Shorey-Ridhi Dogra-Shah Rukh Khan-Hrithik Roshan,yrf spy universe,/lQen4Ws4N7CZFug3HYs2XXji1B.jpg,/kUZE0FYRTVAVtA9NL3lD688GJ9X.jpg,
